类别,压电式,,,标准,,,误差,,,,,,压电式,,,标准,,,误差,,,,,,声波式,,,标准,,,误差,,,,,,声波式,,,标准,,,误差,,,,,,,压电式,,,标准,,,误差,,,,,,压电式,,,标准,,,误差,,,,,,声波式,,,标准,,,误差,,,,,,声波式,,,标准,,,误差,,,,,
位置,A2,,,X3 X5,,,,,,,,,A1,,,X1 X5,,,,,,,,,B2,,,X2 X5,,,,,,,,,B1,,,X4 X5,,,,,,,,,,A2,,,X3 X5,,,,,,,,,A1,,,X1 X5,,,,,,,,,B2,,,X2 X5,,,,,,,,,B1,,,X4 X5,,,,,,,,
,,,,12.1,11.9,12,,,,,,,,,,12,12.1,12.1,,,,,,,,,,12.1,11.8,12.2,,,,,,,,,,11.1,11.5,11.4,,,,,,,,,,,38.5,38.1,38.2,,,,,,,,,,38,38.7,37,,,,,,,,,,38.6,37,39.3,,,,,,,,,,42.1,43.5,44,,,,,,
,,,,12.1,12.8,12.4,,,,,,,,,,12.1,12.8,12.4,,,,,,,,,,12.1,12.8,12.4,,,,,,,,,,12.1,12.8,12.4,,,,,,,,,,,55.8,60,56.6,,,,,,,,,,55.8,60,56.6,,,,,,,,,,55.8,60,56.6,,,,,,,,,,55.8,60,56.6,,,,,,
编号,V0,,,标准 608s,,,,,,,,,V1,,,标准,,,,,,,,,F0,,,标准,,,,,,,,,F1,,,标准,,,,,,,,,,V0,,,标准,,,,,,,,,V1,,,标准,,,,,,,,,F0,,,标准,,,,,,,,,F1,,,标准,,,,,,,,
雨量,8.89,9.13,9.38,12.1,12.35,12.2,,,,,,,7.83,8.52,8.65,12.05,12.45,12.25,,,,,,,5.7,7,6.5,12.1,12.3,12.3,,,,,,,4.7,4.3,4.4,11.6,12.15,11.9,,,,,,,,45.35,42.34,44.63,47.15,49.05,47.4,,,,,,,39.24,40.42,38.25,46.9,49.35,46.8,,,,,,,31.4,30.3,31.1,47.2,48.5,47.95,,,,,,,55.3,48.4,46,48.95,51.75,50.3,,,,,,
时间 s,第1次,第2次,第3次,第1次,第2次,第3次,第1次,第2次,第3次,3次均值,允差下限,允差上限,第1次,第2次,第3次,第1次,第2次,第3次,第1次,第2次,第3次,3次均值,允差下限,允差上限,第1次,第2次,第3次,第1次,第2次,第3次,第1次,第2次,第3次,3次均值,允差下限,允差上限,第1次,第2次,第3次,第1次,第2次,第3次,第1次,第2次,第3次,3次均值,允差下限,允差上限,,第1次,第2次,第3次,第1次,第2次,第3次,第1次,第2次,第3次,3次均值,允差下限,允差上限,第1次,第2次,第3次,第1次,第2次,第3次,第1次,第2次,第3次,3次均值,允差下限,允差上限,第1次,第2次,第3次,第1次,第2次,第3次,第1次,第2次,第3次,3次均值,允差下限,允差上限,第1次,第2次,第3次,第1次,第2次,第3次,第1次,第2次,第3次,3次均值,允差下限,允差上限
1,0.00,0.00,0.00,0.019901316,0.0203125,0.020065789,-0.019901316,-0.0203125,-0.020065789,-0.020093202,-0.5,0.5,0.00,0.00,0.00,0.019819079,0.020476974,0.020148026,-0.019819079,-0.020476974,-0.020148026,-0.020148026,-0.5,0.5,0,0,0,0.019901316,0.020230263,0.020230263,-0.019901316,-0.020230263,-0.020230263,-0.020120614,-0.5,0.5,0,0,0,0.019078947,0.019983553,0.019572368,-0.019078947,-0.019983553,-0.019572368,-0.019544956,-0.5,0.5,,0.00,0.00,0.00,0.059011264,0.061389237,0.059324155,-0.059011264,-0.061389237,-0.059324155,-0.059908219,-3.2,3.2,0.00,0.00,0.00,0.058698373,0.061764706,0.058573217,-0.058698373,-0.061764706,-0.058573217,-0.059678765,-3.2,3.2,0,0,0,0.059073842,0.060700876,0.060012516,-0.059073842,-0.060700876,-0.060012516,-0.059929078,-3.2,3.2,0,0,0,0.06126408,0.064768461,0.062953692,-0.06126408,-0.064768461,-0.062953692,-0.062995411,-3.2,3.2
2,0.00,0.00,0.00,0.039802632,0.040625,0.040131579,-0.039802632,-0.040625,-0.040131579,-0.040186404,-0.5,0.5,0.03,0.00,0.00,0.039638158,0.040953947,0.040296053,-0.009638158,-0.040953947,-0.040296053,-0.030296053,-0.5,0.5,0,0,0,0.039802632,0.040460526,0.040460526,-0.039802632,-0.040460526,-0.040460526,-0.040241228,-0.5,0.5,0,0,0,0.038157895,0.039967105,0.039144737,-0.038157895,-0.039967105,-0.039144737,-0.039089912,-0.5,0.5,,0.00,0.00,0.00,0.118022528,0.122778473,0.11864831,-0.118022528,-0.122778473,-0.11864831,-0.119816437,-3.2,3.2,0.00,0.00,0.00,0.117396746,0.123529412,0.117146433,-0.117396746,-0.123529412,-0.117146433,-0.11935753,-3.2,3.2,0,0,0,0.118147685,0.121401752,0.120025031,-0.118147685,-0.121401752,-0.120025031,-0.119858156,-3.2,3.2,0,0,0,0.12252816,0.129536921,0.125907384,-0.12252816,-0.129536921,-0.125907384,-0.125990822,-3.2,3.2
3,0.01,0.02,0.02,0.059703947,0.0609375,0.060197368,-0.049703947,-0.0409375,-0.040197368,-0.043612939,-0.5,0.5,0.04,0.00,0.00,0.059457237,0.061430921,0.060444079,-0.019457237,-0.061430921,-0.060444079,-0.047110746,-0.5,0.5,0,0,0,0.059703947,0.060690789,0.060690789,-0.059703947,-0.060690789,-0.060690789,-0.060361842,-0.5,0.5,0,0,0,0.057236842,0.059950658,0.058717105,-0.057236842,-0.059950658,-0.058717105,-0.058634868,-0.5,0.5,,0.06,0.05,0.00,0.177033792,0.18416771,0.177972466,-0.117033792,-0.13416771,-0.177972466,-0.143057989,-3.2,3.2,0.00,0.00,0.01,0.176095119,0.185294118,0.17571965,-0.176095119,-0.185294118,-0.16571965,-0.175702962,-3.2,3.2,0,0,0,0.177221527,0.182102628,0.180037547,-0.177221527,-0.182102628,-0.180037547,-0.179787234,-3.2,3.2,0,0,0,0.18379224,0.194305382,0.188861076,-0.18379224,-0.194305382,-0.188861076,-0.188986233,-3.2,3.2
4,0.01,0.04,0.04,0.079605263,0.08125,0.080263158,-0.069605263,-0.04125,-0.040263158,-0.050372807,-0.5,0.5,0.07,0.03,0.01,0.079276316,0.081907895,0.080592105,-0.009276316,-0.051907895,-0.070592105,-0.043925439,-0.5,0.5,0,0,0,0.079605263,0.080921053,0.080921053,-0.079605263,-0.080921053,-0.080921053,-0.080482456,-0.5,0.5,0,0,0,0.076315789,0.079934211,0.078289474,-0.076315789,-0.079934211,-0.078289474,-0.078179825,-0.5,0.5,,0.09,0.11,0.05,0.236045056,0.245556946,0.237296621,-0.146045056,-0.135556946,-0.187296621,-0.156299541,-3.2,3.2,0.04,0.07,0.04,0.234793492,0.247058824,0.234292866,-0.194793492,-0.177058824,-0.194292866,-0.18871506,-3.2,3.2,0,0,0,0.236295369,0.242803504,0.240050063,-0.236295369,-0.242803504,-0.240050063,-0.239716312,-3.2,3.2,0,0,0,0.24505632,0.259073842,0.251814768,-0.24505632,-0.259073842,-0.251814768,-0.251981644,-3.2,3.2
